puzzle_id,path,declared_length,submission_id,record_path,submitted_at,source_index_row,source_repo_commit
0,f1,1,019fbd59-b1e9-7ad0-88af-9a90bdb3d917,results/v1/cayley-py-444-cube/cayleypy-96-24-b1f3fc405bc56fff/0/2026-08-01/019fbd59-b1e9-7ad0-88af-9a90bdb3d917.json,2026-08-01T12:43:19.074Z,2,bf3f68e5906e25ac7b8bfabef6c0d81bdfd1d309
0,f1,1,019fbd7d-f17d-7411-bdae-8b778c483eca,results/v1/cayley-py-444-cube/cayleypy-96-24-b1f3fc405bc56fff/0/2026-08-01/019fbd7d-f17d-7411-bdae-8b778c483eca.json,2026-08-01T13:22:54.747Z,3,bf3f68e5906e25ac7b8bfabef6c0d81bdfd1d309
0,f1,1,019fbdf4-ba7e-7f3f-ad44-06ed3c548226,results/v1/cayley-py-444-cube/cayleypy-96-24-b1f3fc405bc56fff/0/2026-08-01/019fbdf4-ba7e-7f3f-ad44-06ed3c548226.json,2026-08-01T15:32:39.102Z,4,bf3f68e5906e25ac7b8bfabef6c0d81bdfd1d309
0,f1,1,019fbe75-6220-7881-bd20-accfd7dbdc2a,results/v1/cayley-py-444-cube/cayleypy-96-24-b1f3fc405bc56fff/0/2026-08-01/019fbe75-6220-7881-bd20-accfd7dbdc2a.json,2026-08-01T17:53:10.833Z,5,bf3f68e5906e25ac7b8bfabef6c0d81bdfd1d309
0,f1,1,019fbeb6-8696-7b8a-b3bc-b21178975e66,results/v1/cayley-py-444-cube/cayleypy-96-24-b1f3fc405bc56fff/0/2026-08-01/019fbeb6-8696-7b8a-b3bc-b21178975e66.json,2026-08-01T19:04:20.041Z,6,bf3f68e5906e25ac7b8bfabef6c0d81bdfd1d309
0,f1,1,019fc34d-a8f4-7b14-8df5-4031016d8c30,results/v1/cayley-py-444-cube/cayleypy-96-24-b1f3fc405bc56fff/0/2026-08-02/019fc34d-a8f4-7b14-8df5-4031016d8c30.json,2026-08-02T16:27:53.042Z,7,bf3f68e5906e25ac7b8bfabef6c0d81bdfd1d309
0,f1,1,019fc356-5818-7b61-a2a2-ed4510c21475,results/v1/cayley-py-444-cube/cayleypy-96-24-b1f3fc405bc56fff/0/2026-08-02/019fc356-5818-7b61-a2a2-ed4510c21475.json,2026-08-02T16:37:22.641Z,8,bf3f68e5906e25ac7b8bfabef6c0d81bdfd1d309
0,f1,1,019fc3ef-59d3-791b-91bf-62f6aeec1330,results/v1/cayley-py-444-cube/cayleypy-96-24-b1f3fc405bc56fff/0/2026-08-02/019fc3ef-59d3-791b-91bf-62f6aeec1330.json,2026-08-02T19:24:30.264Z,9,bf3f68e5906e25ac7b8bfabef6c0d81bdfd1d309
0,f1,1,019fc405-066d-78f3-beea-072f46a46a0a,results/v1/cayley-py-444-cube/cayleypy-96-24-b1f3fc405bc56fff/0/2026-08-02/019fc405-066d-78f3-beea-072f46a46a0a.json,2026-08-02T19:48:10.806Z,10,bf3f68e5906e25ac7b8bfabef6c0d81bdfd1d309
57,f3.-f0.r0.-d3.-r3.-d3.r2.r1.-f3.-f1.d1.-f0.-d2.-r3.-f0.-d1.f3.-r2.f0.-r3.-d2.-r2.r3.-f0.-r1.d0.r0.-d2.-r2.f2.r2.f2.-d2.-d0.r1.d0.-r1.-f1.d2.-f2.-f2.f1.r1.f2.d2.f0,46,019fc966-f28b-7ddd-88e8-3e6aac27e130,results/v1/cayley-py-444-cube/cayleypy-96-24-b1f3fc405bc56fff/57/2026-08-03/019fc966-f28b-7ddd-88e8-3e6aac27e130.json,2026-08-03T20:53:14.009Z,11,bf3f68e5906e25ac7b8bfabef6c0d81bdfd1d309
